City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,sorong,-0.8833,131.25,28.85,73,86,2.9,ID,1736485223
125,vorgashor,67.5833,63.95,-13.64,95,100,4.34,RU,1736485224
126,punta del este,-34.9667,-54.95,19.37,89,0,2.57,UY,1736485225
127,nagyatad,46.2296,17.3579,3.11,80,100,8.19,HU,1736485227
128,devarkonda,16.7,78.9333,23.65,53,44,5.3,IN,1736485228
129,severo-yeniseyskiy,60.3725,93.0408,-17.16,94,100,3.76,RU,1736485230
130,kailua-kona,19.6406,-155.9956,23.62,88,95,2.55,US,1736485231
131,kolwezi,-10.7148,25.4667,16.37,99,100,1.23,CD,1736485232
132,shenjiamen,29.9576,122.298,4.2,55,39,7.19,CN,1736485234
133,poso,-1.3959,120.7524,31.06,58,100,1.54,ID,1736485235
134,arkhangel'sk,64.5401,40.5433,-7.94,93,100,6.0,RU,1736485237
135,east london,-33.0153,27.9116,21.52,73,0,3.09,ZA,1736485229
136,lazaro cardenas,17.9583,-102.2,23.86,84,91,3.14,MX,1736485244
137,qandala,11.472,49.8728,23.53,65,21,3.54,SO,1736485245
138,susuman,62.7833,148.1667,-24.37,100,100,0.14,RU,1736485247
139,mana,5.6592,-53.7767,24.6,84,9,3.11,GF,1736485248
140,hithadhoo,-0.6,73.0833,27.92,73,75,1.21,MV,1736485250
141,vila franca do campo,37.7167,-25.4333,18.23,97,100,4.59,PT,1736485253
142,coyuca de benitez,17.0333,-100.0667,23.44,83,98,1.28,MX,1736485254
143,borazjan,29.2666,51.2159,17.66,48,0,0.3,IR,1736485256
144,sinabang,2.4803,96.3801,30.09,66,97,2.36,ID,1736485257
145,malvan,16.0667,73.4667,27.27,44,100,2.04,IN,1736485259
146,la passe,45.5549,-0.8967,12.52,91,100,8.93,FR,1736485261
147,el bauga,18.262,33.9081,16.43,45,5,4.11,SD,1736485263
148,shingu,33.7333,135.9833,6.8,44,64,5.94,JP,1736485265
149,bredasdorp,-34.5322,20.0403,19.41,73,57,2.16,ZA,1736485266
150,kayangel,8.0823,134.7173,28.57,76,38,6.65,PW,1736485267
151,port lincoln,-34.7333,135.8667,23.43,49,14,3.95,AU,1736485269
152,nova vodolaha,49.7185,35.8708,5.04,98,76,5.23,UA,1736485270
153,banda aceh,5.5577,95.3222,29.48,65,31,6.08,ID,1736485271
154,coari,-4.085,-63.1414,23.66,97,99,1.04,BR,1736485273
155,howard springs,-12.497,131.047,31.28,78,100,3.0,AU,1736485274
156,richards bay,-28.783,32.0377,25.82,79,4,4.57,ZA,1736484926
157,harstad,68.799,16.5293,-4.36,90,92,4.49,NO,1736485277
158,boulder city,35.9786,-114.8325,10.13,22,0,6.17,US,1736485278
159,yellowknife,62.456,-114.3525,-20.35,94,100,7.2,CA,1736485279
160,beebe,35.0706,-91.8796,-1.44,90,100,1.22,US,1736485247
161,udachny,66.4167,112.4,-19.93,98,100,1.85,RU,1736485283
162,gadzhiyevo,69.2551,33.3362,-10.08,97,100,3.96,RU,1736485284
163,webuye,0.6075,34.7697,20.37,59,100,2.49,KE,1736485286
164,hasaki,35.7333,140.8333,7.38,30,25,7.39,JP,1736485287
165,rio pardo de minas,-15.6097,-42.5397,19.12,99,100,1.37,BR,1736485288
166,chitipa,-9.7024,33.2697,18.73,92,100,0.89,MW,1736485290
167,rongelap,11.1635,166.8941,27.23,75,14,9.74,MH,1736485291
168,tumayr,25.7039,45.868,11.0,59,100,1.81,SA,1736485292
169,kamyzyak,46.11,48.0736,2.99,100,75,3.0,RU,1736485294
170,vilyuysk,63.7553,121.6247,-24.75,99,100,1.19,RU,1736485295
171,fray luis beltran,-39.3167,-65.7667,17.39,48,29,7.02,AR,1736485296
172,yigo village,13.5361,144.8886,29.31,74,40,5.14,GU,1736485298
173,timbuktu,16.7735,-3.0074,17.86,19,100,4.97,ML,1736485299
174,ilha de mocambique,-15.0342,40.7358,27.13,83,54,2.32,MZ,1736485300
175,kirakira,-10.4544,161.9205,27.65,83,100,4.62,SB,1736485302
176,bartin,41.5833,32.5,6.43,63,98,2.38,TR,1736485303
177,presidente medici,-11.1753,-61.9014,21.96,98,92,1.0,BR,1736485305
178,kralendijk,12.15,-68.2667,26.88,78,94,6.3,BQ,1736485306
179,sar-e pul,35.8333,66.1667,2.28,47,86,0.61,AF,1736485308
180,tirebolu,41.0069,38.8139,11.12,59,0,2.34,TR,1736485309
181,masuda,34.6667,131.85,3.15,65,75,4.63,JP,1736485310
182,aral,40.5156,81.2636,-2.5,70,6,0.36,CN,1736485312
183,thames,-37.1333,175.5333,21.07,63,23,4.68,NZ,1736485313
184,isafjordur,66.0755,-23.124,-2.29,85,59,5.93,IS,1736485314
185,buchholz in der nordheide,53.3333,9.8667,0.11,94,100,5.55,DE,1736485316
186,road town,18.4167,-64.6167,24.81,79,89,7.01,VG,1736485317
187,cockburn town,21.4612,-71.1419,23.86,62,66,6.48,TC,1736485319
188,muynoq,43.7683,59.0214,-1.09,45,0,3.04,UZ,1736485320
189,merizo village,13.2658,144.6691,29.12,83,70,6.42,GU,1736485321
190,fort st. john,56.2499,-120.8529,2.94,81,75,5.66,CA,1736485070
191,santa ana,33.7456,-117.8678,20.35,12,0,7.72,US,1736485165
